,RM,MSE error
0,0.0009478672985782004,1.297365288290919e-05
1,0.0027488151658767784,2.1748298555737742e-05
2,0.0050805687203791475,1.7616121830147586e-05
3,0.007179146919431281,1.0913159219244872e-05
4,0.008830900473933652,4.101795936659116e-06
5,0.009843545023696686,4.0694966612969724e-07
6,0.010162508056872042,5.317094164431495e-07
7,0.009797916018957352,6.955406323502847e-07
8,0.009380920625592423,1.6526077788512496e-08
9,0.00931664372890996,4.4790117432155637e-07
10,0.009651270825213276,5.743188162231471e-07
11,0.010030189951222755,2.733641140746163e-07
12,0.010291611121977257,3.942821316008097e-07
13,0.01060557056665157,7.757632196647807e-07
14,0.011045957674678353,9.034890351279448e-07
15,0.011521217875812412,2.1201099470631746e-07
16,0.011751441134143493,2.0598687262167844e-07
17,0.011978370017618954,8.13845015148877e-07
18,0.012429436812880165,1.6788847629999748e-06
19,0.013077295741004177,3.541843196042732e-06
20,0.014018285007154798,5.2379816898657545e-06
21,0.015162616874432135,5.556575179064296e-06
22,0.016341236318852627,1.0356187320266744e-05
23,0.01795028785005562,1.3553836998284096e-05
24,0.019791064656072856,7.607454199157135e-06
25,0.021170145346166545,4.860820292828941e-06
26,0.02227250874958995,1.8810431341456228e-06
27,0.02295826437919601,1.085207175853628e-06
28,0.02347913076701865,1.2752781201644357e-05
29,0.02526468258660023,4.1299901516664894e-05
30,0.02847793255807245,5.817219841927961e-05
31,0.03229146761164412,4.675969198639531e-05
32,0.03571052055019287,2.9487791065726753e-05
33,0.03842565365308703,1.641296196007639e-05
34,0.04045129935014738,1.0421198790968096e-05
35,0.042065393429729495,6.048724458163102e-06
36,0.04329510116514502,4.961595034589801e-06
37,0.04440883307123708,4.046986680467588e-06
38,0.04541468925882897,4.206623292016281e-06
39,0.04644019197603848,2.990029631437978e-06
40,0.04730477708339315,3.0097138204326067e-06
41,0.048172203423267695,3.56316204122017e-06
42,0.04911602041310473,2.6407453846612014e-06
43,0.04992853893361075,2.032382594860407e-06
44,0.05064134721689252,2.254692492195537e-06
45,0.05139212889158157,9.736313267761918e-07
46,0.051885492684024884,2.1972495654348412e-07
47,0.05211986682751318,6.849393552248602e-08
48,0.051989010097152746,3.3331636517755994e-07
49,0.05170034231007842,4.7678851889561706e-07
50,0.051355092936836544,5.806657071660272e-08
51,0.051475577967770476,2.547055831503894e-06
52,0.05227355287832593,8.047398471670215e-06
53,0.0536919497261501,1.969733411003155e-05
54,0.05591103366496537,1.5912205304138632e-05
55,0.057905538948496774,1.2869720364936893e-05
56,0.05969925857297386,8.942452499642884e-06
57,0.061194455257330374,9.278948816153832e-06
58,0.06271752360905936,8.520061093089426e-06
59,0.06417698079351951,1.6742228903254866e-06
60,0.06482393961955202,2.4797735460514237e-07
61,0.06507292624299048,1.320191858535465e-08
62,0.0651303760440897,1.5576603564579252e-06
63,0.0645063447234699,3.236374082427445e-06
64,0.06360684846410755,4.81332078133886e-06
65,0.06250988438295689,3.1970124611222483e-06
66,0.061615874810703575,3.072749399920215e-06
67,0.06073941183374445,3.558710750736416e-06
68,0.05979618456119339,3.0222974397860563e-06
69,0.05892694675716821,1.5000657967673857e-06
70,0.05831456089091079,1.3673401946966545e-06
71,0.057729894277639464,2.4331410285117686e-06
72,0.0569499678342309,6.788429045286467e-06
73,0.05564723714014189,1.0129445419880664e-05
74,0.054055897655628876,5.454212889039801e-06
75,0.0528881848389398,3.3760033007268153e-06
76,0.05196948966360594,2.314673039881574e-06
77,0.05120878718564863,6.875852956252066e-07
78,0.05079418337005318,2.759228548462255e-06
79,0.04996363708168897,7.093095765779906e-06
80,0.048631993758030206,1.7355087494297844e-05
81,0.04654902187306045,2.8566275176516658e-05
82,0.043876650492782415,2.3981242620865516e-05
83,0.041428118145596375,2.314520048477143e-05
84,0.039022645193931185,1.7401041645362612e-05
85,0.036936917404563493,7.437864499956771e-06
86,0.03557329497698715,2.152247842337443e-06
87,0.03483976790824029,3.4768568732634616e-07
88,0.03454494351672631,2.733530985325904e-08
89,0.03446227654954283,9.638168496090548e-07
90,0.03495314742095634,5.445528408729803e-07
91,0.035322116539201004,2.369127544540691e-06
92,0.036091715061896554,4.242654437578799e-06
93,0.0371216003027825,2.1908130286267973e-06
94,0.037861670067842995,1.8870175397309829e-07
95,0.03807886914356219,1.011578674015801e-06
96,0.037575982806002745,3.3875423541937697e-06
97,0.036655718937023615,5.5748307703600745e-06
98,0.03547516496003229,6.137082937790078e-06
99,0.03423650813328506,6.983902191891051e-06
100,0.03291515445316276,7.963492020014502e-06
101,0.031504171460705506,8.99100759581523e-06
102,0.030004921014998118,7.2417486500037605e-06
103,0.02865939614993581,2.1617142287172967e-06
104,0.027924257688706006,1.863630125456194e-08
105,0.027856000269229145,5.005147421413885e-07
106,0.028209735601837222,3.1074324014773647e-06
107,0.029091131143219942,5.122480684172635e-06
108,0.030222776039396812,4.099162357836098e-06
109,0.031235095450185237,3.2979066435254292e-06
110,0.03214310242200944,1.9442543855797252e-06
111,0.03284028503538626,1.28800945620309e-06
112,0.03340773755679292,2.3762608310250144e-07
113,0.033651472086098116,2.9497860793214868e-08
114,0.03373734679249239,4.660362309386518e-08
115,0.033629407430934774,1.4403349342462184e-07
116,0.033439648706876685,1.8851140574368188e-07
117,0.033222559205896285,1.3178310456704852e-06
118,0.03264857509338304,4.505751015463692e-06
119,0.03158723737433885,1.0023938367769718e-05
120,0.03000420718134112,1.8078931483050297e-06
121,0.02933191759561466,5.287477869504074e-07
122,0.029695492824057965,1.9212855245494336e-06
123,0.03038854504513323,4.356663335842682e-06
124,0.03143217612648366,3.328750549069945e-06
125,0.03234441931624585,1.8505382999246456e-07
126,0.03255950873369384,8.642844046863323e-07
127,0.03209467424576122,1.0428155213739914e-06
128,0.0315840825494485,1.0227392401632192e-06
129,0.031078429694180378,6.021870314683655e-08
130,0.03095573219711255,1.2145322761134248e-07
131,0.031129982898410527,3.57998443059801e-07
132,0.03142914775390821,1.9701981307219162e-07
133,0.03165108232369861,6.824446379133511e-07
134,0.032064133361075754,3.5594613912619746e-07
135,0.03236243947026822,1.5417332888620285e-08
136,0.03230035619375872,1.9563696176855488e-07
137,0.03207920185750881,1.623732600824786e-06
138,0.03144207302422138,2.511977209048652e-06
139,0.030649612108931447,3.5435857656083545e-06
140,0.029708391390182602,3.694865098786139e-06
141,0.028747289795814694,2.582510042935924e-06
142,0.027943780299458876,5.593039532204472e-07
143,0.02831771343292676,5.559452121595401e-06
144,0.029496637955701163,1.4429149743604293e-05
145,0.031395923988899184,2.7090319046837875e-05
146,0.03399834204941703,4.8988997841805385e-05
147,0.03749794909313656,3.642028982338471e-05
148,0.04051541035317722,3.332959389617037e-05
